courseID,courseName,description,syllabus,school
MGMT2130,Entrep Through Acquis,"The objective of this course is to study the process of entrepreneurship through the acquisition of existing operating businesses. We will study this process through a series of lectures, assigned readings, case studies, and a final project which will follow the acquisition process. Freshmen require instructor's permission.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2130,University of Pennsylvania
MGMT2140,Tech & Innov Strategy,"The course is designed to meet the needs of future managers, entrepreneurs, consultants and investors who must analyze and develop business strategies in technology-based industries. The emphasis is on learning conceptual models and frameworks to help navigate the complexity and dynamism in such industries. This is not a course in new product development or in using information technology to improve business processes and offerings. We will take a perspective of both established and emerging firms competing through technological innovations, and study the key strategic drivers of value creation and appropriation in the context of business ecosystems. There is definitely an overlap in content with other courses in intermediate microeconomics, or managerial economics. Nevertheless, the treatment is sufficiently distinctive to make it complementary to those other treatments for a student who is particularly interested in economic change, or is otherwise interested in acquiring a broader view of economics.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2140,University of Pennsylvania
MGMT2230 ,Business Strategy,"This course encourages students to analyze the problems of managing the total enterprise in the domestic and international setting. The focus is on the competitive strategy of the firm, examining issues central to its long- and short-term competitive position. Students act in the roles of key decision-makers or their advisors and solve problems related to the development or maintenance of the competitive advantage of the firm in a given market. The first module of the course develops an understanding of key strategic frameworks using theoretical readings and case-based discussions. Students will learn concepts and tools for analyzing the competitive environment, strategic position and firm-specific capabilities in order to understand the sources of a firm's competitive advantage. In addition, students will address corporate strategy issues such as the economic logic and administrative challenges associated with diversification choices about horizontal and vertical integration. The second module will be conducted as a multi-session, computer-based simulation in which students will have the opportunity to apply the concepts and tools from module 1 to make strategic decisions. The goal of the course is for students to develop an analytical tool kit for understanding strategic issues and to enrich their appreciation for the thought processes essential to incisive strategic analysis. This course offers students the opportunity to develop a general management perspective by combining their knowledge of specific functional areas with an appreciation for the requirements posed by the need to integrate all functions into a coherent whole. Students will develop skills in structuring and solving complex business problems. In addition to prerequisites, enrollment is limited to seniors and juniors that have completed introductory courses in finance, marketing, and accounting.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2230,University of Pennsylvania
MGMT2240,Leading Diversity in Org,"People in the workplace are constantly interacting with peers, managers, and customers with very different backgrounds and experiences. When harnessed effectively, these differences can be the catalyst for creative breakthroughs and the pathway to team and organizational learning and effectiveness; but when misunderstood, these differences can challenge employees' values, performance, workplace relationships, and team effectiveness. This course is designed to help students navigate diverse organizational settings more effectively and improve their ability to work within and lead diverse teams and organizations. It also offers students the opportunity to develop their critical thinking on topics such as identity, relationships across difference, discrimination and bias, equality, and equity in organizations and society and how they relate to organizational issues of power, privilege, opportunity, inclusion,creativity and innovation and organizational effectiveness. Class sessions will be experiential and discussion-based. Readings, self-reflection, guest speakers from organizations, case studies and a final project will also be emphasized. By the end of this course, you should be able to: 1)Evaluate the aspects of yo ur identity and personal experiences that shape how you interact and engage with others and how they interact and engage with you in organizations 2)Explain how issues of power, privilege, discrimination, bias, equality, and equity influence opportunity and effectiveness in organizations 3)Propose ways to make relationships across difference in organizations more effective 4)Describe current perspectives on the relationships among diversity, inclusion, creativity, and innovation in organizations 5)Analyze a company's current approach to leading diversity and use content from this course to propose ways to enhance learning and effectiveness in that company.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2240,University of Pennsylvania
MGMT2250,Value Creation & Val Cap,"This course examines how the kind of firms in which most Wharton students will spend the next stage of their careers came to be as they are today. At a superficial level, the course's objectives are descriptive and narrative. But history, considered thoughtfully and critically, is never just description and a narrative and the course's deeper purpose is to give students some idea of how to think about the future evolution of firms and industries. In this the course is as much an applied strategy course as it is a historical survey. The course considers the development of the business enterprise as an economic institution. It also covers the evolution of competition and strategy, marketing institutions, some aspects of the history of operations management, and corporate finance. Issues arising in these different management disciplines are considered in part for the purpose of showing off their interrelationships. Questions of how value can be created and captured at the enterprise level form the core of the perspective. The course's focus is on American developments, since many of the innovations took place here, but there is scope for comparison with Japan and the leading European economies if there is student interest. Chronologically the course runs from Franklin's days through the early twenty-first century. The individual classes proceed through discussion of actual business decisions and performance in a series of challenging and otherwise interesting moments in the evolution of the American business environment. The materials are unusual for the Wharton School--they are not just often case-like but wherever possible draw on documents contemporary to the decisions such as correspondence, internal memoranda, minutes of meetings, old newspaper and magazine stories, and eyewitness accounts. The objective in this is to give students as minimally mediated access as is feasible to what the embedded actors knew and thought. The materials require thoughtful preparation. Weekly short writing assignments during the first twelve weeks of the term develop students' skill in turning such preparation into crisp analytical prose. (This will be valuable to most ex-students in the early phases of their post-Wharton careers.) The course as a process is much more focused on the students than many and the most productive experience of it demands that the students both engage with the materials when they prepare and then take an active role in the class discussion. The largest single element in the grading is a substantial term paper on a topic agreeable to both the student and the instructor. (To everyone's surprise, the lack of easy access",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2250,University of Pennsylvania
MGMT2290,Intel Property Strategy,"Announcing the first iPhone at Macworld 2007, Apple CEO Steve Jobs famously boasted: ""And boy, have we patented it!"" How, and to what extent, do patents and intellectual property really provide competitive advantage for innovative technology companies? What makes an IP asset strategically powerful? How do patents impact, and even drive, major corporate decisions including M&A, venture funding and exits, and entry into new markets? In this course, students will learn to critically analyze and answer these questions, gaining insights they can leverage in their future roles as innovation industry executives, entrepreneurs, strategist and investors. The course includes three major units. In Unit 1, Patents and Innovation Value, we examine closely the relationship between competitive advantage, value proposition, and intellectual property (particularly patents). We will apply our understanding of that relationship to critique and sharpen patent strategy to protect examples of cutting-edge technologies. In Unit 2, Patent Leverage and the Corporate Playbook, we study theory and examples of how intellectual property leverage strategically informs corporate transactions and decisions, for established companies as well as for start-ups. In unit 3, Limits and Alternatives to Patents, we confront the recent legal trend toward reigning in the power and scope of patents. We also consider the growing importance of data as a proprietary technology asset, and discuss options for adapting intellectual property strategy appropriately. Throughout, students will learn and practice applying the concepts we learn to decision-making in examples based on innovative real-world technologies and businesses.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2290,University of Pennsylvania
MGMT2300,Entrepreneurship,"How do you take a good idea and turn it into a successful venture? Whether you plan to become a founder, investor, mentor, partner, or early employee of a startup company, this course will take you through the entire journey of new venture creation and development. MGMT 230 is a project-based survey course designed to provide an overview of the entrepreneurial process and give you practical hands-on experience with new venture development. You and a team will have the chance to ideate, test, and develop a pitch for an early-stage startup by incorporating material from class lectures, simulations, labs, and class discussions. By the end of the course, you will have a better understanding of what it takes to create a successful startup, as well as proven techniques for identifying and testing new market opportunities, acquiring resources, bringing new products and services to market, scaling, and exiting new ventures.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2300,University of Pennsylvania
MGMT2310,Entrepreneurship Launchpad,"This advanced course on entrepreneurship focuses on taking your venture from a good idea to a fundable business. Participants need to come to the class with a validated idea that they are committed to pursuing commercially. The course is entirely oriented toward applying concepts and frameworks to advance your venture and provides practical guidance for testing the product or service, forming the entity, establishing partnerships, and engaging with investors. Students must have successfully completed MGMT 801 before enrolling (or obtain the permission of the instructor). Format: Highly interactive Requirements: Class participation, interim assignments.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2310,University of Pennsylvania
MGMT2320,Bus Mod Innov Strategy,"Business Model Innovation Strategy is a half semester MBA elective course which centers on the conceptualization, design, analysis and implementation of novel business models by incumbent and by new venture leaders as well as on the organizational challenges associated with a business model innovation strategy. Students will be introduced to a framework for developing and implementing a new business model. The framework will be brought to life through a combination of lectures, in-class exercises, numerous illustrations and case discussions.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2320,University of Pennsylvania
MGMT2330,Strat & Prac of Family,"This course is designed for those persons who desire to understand the distinct strategies and practices of family-controlled companies and family wealth creation. It will focus on stakeholder decision making; financial and resource driven options for long-run competitiveness, organizational structures, management team issues; strategic planning from a resource-based perspective; transition planning for the corporate entity, family dynamics and communication issues; and leadership empowerment. The course is intended for those who plan to consult or provide professional services to family-controlled companies and for those planning a career in a family firm. The class is structured around topical lectures with frequent utilization of case studies requiring active class participation, as well as on-site and off-site project work time. Submission of several written case studies, and a term project are required. Open to Wharton undergraduate & MBA students, as well as Penn graduate students. Format: The class is structured around topical lectures with frequent utilization of case studies. There will be in-class discussion, as well as on-site and off-site project work time.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2330,University of Pennsylvania
MGMT2330,Strat & Prac of Family,"This course is designed for those persons who desire to understand the distinct strategies and practices of family-controlled companies and family wealth creation. It will focus on stakeholder decision making; financial and resource driven options for long-run competitiveness, organizational structures, management team issues; strategic planning from a resource-based perspective; transition planning for the corporate entity, family dynamics and communication issues; and leadership empowerment. The course is intended for those who plan to consult or provide professional services to family-controlled companies and for those planning a career in a family firm. The class is structured around topical lectures with frequent utilization of case studies requiring active class participation, as well as on-site and off-site project work time. Submission of several written case studies, and a term project are required. Open to Wharton undergraduate & MBA students, as well as Penn graduate students. Format: The class is structured around topical lectures with frequent utilization of case studies. There will be in-class discussion, as well as on-site and off-site project work time.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2330,University of Pennsylvania
MGMT2370,Management of Technology,"The course is designed to meet the needs of the future managers, entrepreneurs, consultants and investors who must analyze and develop business strategies in technology-based industries. The emphasis is on learning conceptual models and frameworks to help navigate the complexity and dynamism in such industries. This is not a course in new product development or in using information technology to improve business processes and offerings. We will take a perspective of both established and emerging firms competing through technological innovations, and study the key strategic drivers of value creation and appropriation in the context of business ecosystems. In addition to prerequisites, this course is exclusively reserved for Management and Technology students.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2370,University of Pennsylvania
MGMT2380,Organizational Behavior,"Management 238 is an organizational behavior course, examining individual, interpersonal, and group effectiveness at work. Topics range from decision- making, motivation, and personality to networks, influence, helping, leadership, teamwork, and organizational culture. The learning method is heavily experiential, with a focus on applying key principles to the human side of management in role-play exercises, simulations, a mini-TED talk, and group projects in local organizations. Other Information: This course is open to juniors and seniors across Penn. This course also has a first-day mandatory attendance policy.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2380,University of Pennsylvania
MGMT2410,Knowledge For Soc Impact,"Inequality. Poverty. Racism. Climate change. COVID. Violence. Crime. And so much more. The list of societal challenges in the United States and around the globe is daunting. Like many other students, you may hope to make a positive difference in the world. But, where and how? This course is designed to help you begin to answer this question. We will meet with for-profit and nonprofit leaders working to make a difference, drawing lessons from their successes, failures, evolution, and resilience. We will read and discuss rigorous social science research that ensures that we move from hunches to facts, from simplistic and ineffective solutions to systems knowledge. We will investigate impact measurement strategies, asking “What is feasible and beneficial to monitor and measure, and why?” And, we will take a deep dive into two of the complex societal challenges facing the US States today: (1) barriers to college access, completion, and post-college employment; and (2) barriers to employment following incarceration.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2410,University of Pennsylvania
MGMT2420,Corp. Governance Exec,"This course examines the relationships between corporate managers, the boards of directors charged with overseeing them, and investors. We'll review the responsibilities of the board, including financial statement approval, CEO performance assessment, executive compensation, and succession planning. While boards are legally bound to represent the interests of equity investors, in the course of carrying out this role they are often called on to respond to the needs of numerous other stakeholders, including customers, employees, government and society at large. With global brands at risk and mistakes instantly transmitted via Internet and social media, the reputational stakes are very high. The course is a combination of lecture, guest lecture, discussion, case analysis, and in-class research workshops. We will review some of the theory underlying modern governance practice, drawing from theories and evidence provided by research across diverse fields, including finance, sociology, and organization and management theory. We'll study specific situations where boards and management teams faced governance challenges, and assess the strategies used to deal with them. Finally, we'll examine the ways in which governance arrangements and external stakeholder involvement in governance affects corporate social behavior and global citizenship.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2420,University of Pennsylvania
MGMT2430,Wrk & Tech:Choices & Out,"That technology affects work is a commonplace - but we accept technology’s impact too readily as inevitable and unchangeable. This 0.5 CU course challenges the mindset of technological determinism and explores what choice points are available to managers implementing new technologies as well as the engineers who design them. • Module 1: “Technology and Its Impact on Jobs and Skills” considers which technologies deserve the characterization of “revolutionary” due to their capacity to change entire organizations – and even societies — vs. those that only substitute narrowly for past technologies. We’ll examine past anxieties related to automation and evaluate the extent to which the “worst-case” scenarios about employment loss have or have not come to pass – and evaluate claims of “this time it’s different”. • Module 2: “Intelligent Technologies: How Will They Affect Work and Organizations?” explores how Artificial Intelligence (AI) is changing core “managing people” activities (e.g., hiring and performance appraisal) – plus shifting the locus of management away from human bosses and into algorithms. We’ll examine controversies around “gig work”, i.e., the positives of worker schedule flexibility vs. the negatives of algorithmic control. We’ll also consider the metaverse and its potential for unleashing human creativity and fostering richer and more nuanced virtual communication - as well as providing organizations with new ways to monitor and control. • Module 3: “Technology and Policy” examines three policy issues. First, how can we inject more ethical criteria into the development of artificial intelligence and algorithms affecting work? Second, what are the pros and cons of “universal basic income”, whose premise is that technological change will soon lead to an unprecedented amount of job elimination? Third, how does “technology make us dumber”? How can we avoid the obsolescence of critical human skills? Take this course to be ready to manage the strategic and analytic issues involving the design and implementation of technology at work - and for a preview of your own future work life. Requirements include: class participation; in-class quizzes; interviewing someone you know to ask how technology has affected their work life; and the “In Hindsight” group assignment looking back on past scares about a particular technology’s impact on work - and what actually happened.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2430,University of Pennsylvania
MGMT2480,How To Be the Boss ,"Despite the press accounts about the ""gig"" economy, the Bureau of Labor Statistics calculates that about 92 percent of the people working in the US are employees who are supervised by someone. That figure has remained roughly the same for decades. The term ""supervisor"" is sometimes used for the first-level of supervision in an organization, but in fact that role - and indeed the title ? goes all the way up to the very top of any employer organization. Even CEO's are the supervisor of their direct reports. When people talk about their ""boss,"" they almost always are referring to the person who supervises them. Stepping into a supervisor position is challenging, exceptionally so the first time. Thattime comes relatively soon for Wharton grads. Undergrads pursuing consulting jobs typically find themselves supervising new hires by their third year, those working for corporations find themselves in those roles even sooner. Roughly three-quarters of our MBA students report that they had been required to supervise subordinates after college and before arriving here. In this class, we examine the role of the supervisor and the unique tasks associated with performing that role. We pay special attention to the unique challenges of taking on that role for the first time.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2480,University of Pennsylvania
MGMT2490,Mergers & Acquisitions,"This interactive, applied, and case-based course explores the various modes of corporate development available to managers to drive firm growth and change, including alliances, outsourcing, corporate venturing, and particularly mergers and acquisitions. The objectives are three-fold: (1) to arm the student with a set of tools to facilitate the selection of the appropriate growth strategy in a given situation; (2) to provide insights as to how to manage partnerships like alliances, outsourcing, and corporate venturing; and, (3) to develop a comprehensive framework for executing M&As, from initiation to implementation. The emphasis is on strategic and operational aspects of these transactions, rather than financial considerations. Please note that you must fulfill the prerequisites in order to enroll in this class.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2490,University of Pennsylvania
MGMT2510,Consult To Growth Co,"This course offers students a unique opportunity to develop consulting skills and entrepreneurial expertise by working as consultants to thriving entrepreneurial ventures in the Philadelphia area. This capstone course combines both fieldwork and class work and allows students to apply knowledge and skills acquired through other course work to real world issues that must be addressed by operating companies. An understanding of characteristics producing rapid entrepreneurial growth and skills related to effective communications and management of a business relationship are emphasized. Team term consulting assignment, lectures, case analysis, and small group discussions.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2510,University of Pennsylvania
MGMT2640,Ven Capital & Ent Mgmt,"This course focuses on venture capital management issues in the context of a high-growth potential start-up company. The course is motivated by rapid increases in both the supply of and demand for private equity over the past two decades. The topic is addressed from two distinct perspectives: issues that relate to the demand for private equity and venture capital (the entrepreneur's perspective) on the one hand, and issues that relate to the supply of capital (the investor's perspective) on the other. As well, we will address management issues that relate to how the VC and the entrepreneur work together once an investment has been made, compensation issues, and governance issues in the privately held venture capital backed company. Format: Case/discussion format, supplemented by lectures and guest speakers.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2640,University of Pennsylvania
MGMT2650,Culture of Technology,"Academics, students and practitioners alike are fascinated by the culture of tech sector - its people, practices, and organization. In this course we explore this sector using a combination of research papers, press coverage, and practitioner involvement. Each class session will be devoted to discussion of a single research article, during which we will be joined via state-of-the-art videoconferencing by a Wharton alum from the tech sector whose expertise is relevant to the paper topic. Therefore, the learning objectives half-credit course are to: 1) understand the managerial, organizational, and regional institutions that characterize the tech sector, with particular emphasis on the case of Silicon Valley 2)Bridge research and practice by critical analysis of academic research papers in conjunction with practitioner input 3) Forge connections with tech sector practitioners, particularly with our west coast alumni base.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2650,University of Pennsylvania
MGMT2670,Entrep & Tech Innov,"Building a new firm around technology innovation can mean different choices and challenges for entrepreneurs. The goals and outcomes of technology entrepreneurship vary as much as the innovations that inspire them. MGMT 267 will take you through the questions that entrepreneurs should address as they go from a technology innovation idea to founding and funding a tech startup. The course will appeal to individuals who have a desire to become technology entrepreneurs at some stage of their career, as well as others interested in the startup ecosystem such as investors, early employees, other professional service providers, etc. Through a combination of individual and team work, you will examine what is different when technology is at the core of an entrepreneurial opportunity and how to move a technology-based venture forward.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2670,University of Pennsylvania
MGMT2720,Power & Pol in Organiz,"""If you want to test a (person's) character, give (him/her) power."" These famous words articulate one of the many tensions of exercising power. Regardless of whether you have an appetite for power or disdain it, power and politics are likely to play an important role in your career. The purpose of this course is to introduce you to concepts that are useful for understanding, analyzing, and developing your political skill. But beyond discovering ways to extend your own power in organizations, we will also uncover lessons about ways in which power and politics can blind you, and how to navigate situations in which you are up against powerful people. Using a range of scholarly articles, cases, exercises, assessments and simulations, we will extract a variety of lessons relevant to your role in organizations. Topics include diagnosing power in organizations, building coalitions, change management, understanding networks, coping with intolerable bosses and incivility, and downsizing. Students will be expected to engage in field research for their coursework and final paper, and the course requires that students submit assignments for almost every class session. Organizations are inherently political arenas that require social astuteness, and an understanding of the ""rules of the game."" This course is designed for students aiming to develop their leadership, general management and career skills through a better understanding of power and politics, and relates to other courses on these topics in the Management department.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2720,University of Pennsylvania
MGMT2750 ,Comparative Capitalism,"While we often debate capitalism as a system, the nature of capitalist economies differ from country to country and rarely match up to the ideal. Why do these differences arise? Is there a pure form of capitalism? What is the nature of capitalism in advanced and emerging economies? Why are capitalist economies often embedded in other social systems? Why do some economies grow faster than others? How do international institutions and interdependencies affect national capitalist institutions? How are the strategies of multinational corporations (MNCs) influenced by their country of origin? And how is the nature of capitalism changing today? This course provides insight into these questions as it explores the nature of capitalism around the world, with specific reference to Brazil, Russia, Ukraine, China, Hungary, Nigeria, South Africa, Singapore, Israel, Argentina, and the advanced OECD countries. Students will leave this class with understanding key differences in how capitalist economies are organized and competition over the future of the world economy.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2750,University of Pennsylvania
MGMT2760,Cultiv Judgment Skills.,"This course will explore the diverse ways in which scholars and practitioners have defined ""good judgment."" And it will introduce students to practical tools for assessing and improving judgment, with special emphasis on probabilistic reasoning. Students will have the opportunity both to fine-tune their personal judgment skills as well as to master and then weave together insights from several bodies of scientific knowledge, including frequentist and Bayesian statistics, psychological work on judgment and choice, group dynamics, organizational behavior and political science (key concepts discussed in Tetlock's (2015) book ""Superforecasting""). We will focus on bottom-line accuracy in sizing up real world problems. Class work will be primarily exercises, including working as an individual and in teams. You will have opportunities to forecast on a wide range of political, business, and macro-economic questions, which we will use as feedback tools to help you calibrate your judgment. Assessments include a weekly concept test and a final group presentation aimed to help you improve your judgment. The goal is to launch you on the lifelong process of learning how much trust you should place in your judgments of trustworthiness.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2760,University of Pennsylvania
MGMT2870,Global Mgmt Digital Business,"Digital businesses enable users to communicate, interact, share, and engage in transactions. They enable individuals to shop, work, play, and learn, and they offer companies new ways of organizing their value chains, reaching customers, collecting and analyzing information, and creating value. This half-semester, 0.5-cu class deals with the international expansion of businesses through the use of digital technologies. The focus is on the tension between the eminent scalability facilitated by digital technologies and the ruggedness of the international landscape, shaped as it is by demographics, consumer preferences, culture, regulatory structures, and network effects operating at the local, national, regional, and global levels. The class covers both companies launched as digital businesses and traditional companies undergoing a digital transformation. Topics include industry dynamics, the impact of network effects, the sequence of foreign market entry, regulatory risk, strategic interaction, and global versus local strategies for both new digital businesses and established firms undergoing digital transformation. While there are no specific requirements, knowledge of the fundamental concepts of competitive strategy and global strategy is essential to follow this class. Students will learn through interactive class discussions, team-based exercises, and self-made short videos to pitch novel new ideas about digital businesses.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2870,University of Pennsylvania
